message,label
"Hey John, are we still on for tomorrow's meeting?",0
"Verify your bank account immediately by clicking this link: http://secure-login-bank123.com",1
"Your package from Amazon has been delivered.",0
"URGENT: Your PayPal account has been restricted. Please update your billing information at http://update-paypal-account-now.info",1
"Happy birthday Mom! Hope you have a great day.",0
"Congratulations! You've been selected to receive a free $1000 Walmart gift card. Claim here: http://free-iphone-winner-click-here.biz",1
"Don't forget to buy milk and eggs on your way home.",0
"Netflix: Your payment method failed. Update your card details within 24 hours to avoid suspension: http://netflix-billing-update-required.net",1
"The meeting is moved to 3 PM in Room 101.",0
"FINAL NOTICE: Your car warranty is about to expire. Press 1 to speak with an agent or visit our site to renew.",1
"Can you pick up the kids from school today?",0
"Apple Support: Your Apple ID has been locked for security reasons. Verify your identity at http://verify-apple-id-login.com",1
"I'll be about 10 minutes late to dinner.",0
"Wells Fargo Alert: A suspicious transaction of $500 was detected. If this wasn't you, log in immediately: http://secure-wells-fargo-update.org",1
"Did you watch the game last night?",0
"You have (1) new voicemail from Unknown Caller. Listen here: http://claim-your-prize-now-2023.net",1
"Let's catch up over coffee this weekend.",0
"Chase Bank: We have temporarily disabled your account. Please confirm your details here: http://chase-bank-verify-account.com",1
"I sent you the document via email.",0
"Instagram: A copyright violation has been reported on your account. Appeal immediately at http://instagram-copyright-infringement-appeal.com",1
"Are you free for a call later?",0
"DHL: Your package is stuck at the sorting facility. Pay the $2.99 shipping fee to reschedule delivery: http://dhl-package-tracking-reschedule.info",1
"Thanks for your help with the project.",0
"Facebook Security: Someone tried to access your account. Secure it now: http://facebook-security-check.com",1
"Can we reschedule our dentist appointment?",0
"Amazon Prime: Your payment for renewal was declined. Update your billing here: http://amazon-prime-renewal-failed.net",1
"I loved the book you recommended!",0
"IRS Notice: You are eligible for a $1,200 tax refund. Claim it now at http://irs-tax-refund-claim.org",1
"Let me know when you're available to chat.",0
"WhatsApp: Download the new Gold version with exclusive features: http://whatsapp-gold-download-now.biz",1
